City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,celestun,20.8667,-90.4,26.95,86,88,3.63,MX,1693100982
83,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,55,20,6.69,ID,1693100983
84,west island,-12.1568,96.8225,25.99,73,100,6.69,CC,1693100983
85,kalengwa,-13.4659,25.0027,17.41,22,5,2.72,ZM,1693100984
86,punta arenas,-53.15,-70.9167,3.12,90,100,4.38,CL,1693100623
87,margate,51.3813,1.3862,12.61,87,50,1.34,GB,1693100986
88,aasiaat,68.7098,-52.8699,4.01,91,100,10.26,GL,1693100986
89,qiziltepa,40.0331,64.85,22.75,49,89,4.32,UZ,1693100987
90,las heras,-46.5419,-68.9359,5.28,59,31,11.48,AR,1693100988
91,san julian,21.0167,-102.1667,16.09,71,42,1.61,MX,1693100988
92,vorgashor,67.5833,63.95,4.28,98,100,5.48,RU,1693100989
93,turuntayevo,52.2,107.6167,17.05,58,26,0.73,RU,1693100989
94,saudarkrokur,65.7461,-19.6394,10.34,96,100,0.61,IS,1693100990
95,iskateley,67.6803,53.1512,6.14,93,100,4.3,RU,1693100990
96,salaberry-de-valleyfield,45.2501,-74.1325,18.94,82,98,2.57,CA,1693100704
97,tual,-5.6667,132.75,25.07,86,94,10.09,ID,1693100991
98,qazigund,33.6333,75.15,16.33,76,8,0.61,IN,1693100992
99,anloga,5.7947,0.8973,24.64,92,87,4.74,GH,1693100992
100,ancud,-41.8697,-73.8203,6.64,85,100,3.04,CL,1693100993
101,port mathurin,-19.6833,63.4167,22.64,74,83,11.6,MU,1693100993
102,moreira sales,-24.0622,-53.0069,16.06,70,95,2.76,BR,1693100994
103,st. john's,47.5649,-52.7093,14.38,89,75,3.09,CA,1693100939
104,auki,-8.7676,160.7034,24.45,92,100,3.66,SB,1693100995
105,vilyuchinsk,52.9306,158.4028,21.15,57,97,0.55,RU,1693100995
106,broken hill,-31.95,141.4333,22.58,24,0,5.78,AU,1693100996
107,lebu,-37.6167,-73.65,7.25,74,0,1.12,CL,1693100996
108,ouarzazat,30.9189,-6.8934,30.16,21,0,2.06,MA,1693100997
109,albany,42.6001,-73.9662,19.94,85,8,2.1,US,1693100997
110,qaqortoq,60.7167,-46.0333,5.65,90,100,1.5,GL,1693100998
111,talnakh,69.4865,88.3972,12.34,76,100,4.81,RU,1693100998
112,hayden,47.766,-116.7866,31.02,20,0,2.57,US,1693100821
113,touros,-5.1989,-35.4608,25.76,84,77,3.67,BR,1693100949
114,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,49,20,5.0,RU,1693100999
115,sao joao da barra,-21.6403,-41.0511,18.68,88,100,4.33,BR,1693101000
116,uyuni,-20.4597,-66.825,3.7,33,4,4.5,BO,1693101000
117,lata,40.1629,-8.3327,18.23,95,17,1.95,PT,1693101001
118,barra de santo antonio,-9.4047,-35.5072,23.6,93,7,3.18,BR,1693101001
119,ryotsu-minato,38.0833,138.4333,29.72,68,18,1.77,JP,1693101002
120,wenatchee,47.4235,-120.3103,33.36,25,0,3.09,US,1693101003
121,nar'yan-mar,67.6713,53.087,6.2,93,100,4.3,RU,1693101003
122,ust-nera,64.5667,143.2,13.52,63,100,2.2,RU,1693101004
123,uturoa,-16.7333,-151.4333,26.13,73,69,9.14,PF,1693101004
124,keflavik,64.0049,-22.5624,11.95,93,100,3.09,IS,1693101005
125,sanming,26.2486,117.6186,29.87,80,48,0.52,CN,1693101005
126,beloyarskiy,63.7119,66.6722,7.69,93,100,1.69,RU,1693101006
127,labuan bajo,-8.4964,119.8877,28.34,57,0,1.9,ID,1693101006
128,carnarvon,-24.8667,113.6333,23.54,45,0,1.65,AU,1693101007
129,formosa do rio preto,-11.0483,-45.1931,24.78,57,35,1.67,BR,1693101007
130,selfoss,63.9331,-20.9971,10.58,89,50,4.23,IS,1693101008
131,tazacorte,28.629,-17.9293,24.54,88,20,5.14,ES,1693101008
132,jamestown,42.097,-79.2353,20.77,94,75,2.57,US,1693101009
133,nantucket,41.2835,-70.0995,21.12,78,100,1.54,US,1693101009
134,peace river,56.2501,-117.286,25.17,60,40,3.6,CA,1693101010
135,vuktyl,63.8567,57.3094,5.22,95,100,1.28,RU,1693101010
136,inongo,-1.95,18.2667,20.33,88,64,1.46,CD,1693101011
137,hirara,24.8,125.2833,31.15,79,40,5.14,JP,1693101011
138,luderitz,-26.6481,15.1594,16.28,41,0,4.44,NA,1693101012
139,stanley,54.868,-1.6985,9.85,94,20,1.54,GB,1693101012
140,bredasdorp,-34.5322,20.0403,6.56,83,0,1.53,ZA,1693101013
141,rio grande,-32.035,-52.0986,4.41,67,3,3.44,BR,1693101013
142,okhotsk,59.3833,143.3,19.9,49,7,3.51,RU,1693101014
143,guiuan,11.0333,125.7247,29.14,72,100,8.14,PH,1693101015
144,goundam,16.4145,-3.6708,29.58,56,99,5.96,ML,1693101015
145,jianshui,23.6363,102.8264,23.07,84,100,1.76,CN,1693101015
146,raghogarh,24.45,77.2,22.44,88,97,4.35,IN,1693101016
147,puerto cabezas,14.0351,-83.3888,27.22,81,59,3.89,NI,1693101017
148,sarandi del yi,-33.35,-55.6333,3.56,72,6,3.42,UY,1693101017
149,northam,51.0333,-4.2167,15.22,91,81,6.89,GB,1693101018
150,nichinan,31.6,131.3667,25.82,76,40,4.26,JP,1693101018
151,bijni,26.4959,90.703,24.66,98,100,1.74,IN,1693101019
152,lihue,21.9789,-159.3672,30.77,63,20,6.69,US,1693101019
153,bilibino,68.0546,166.4372,14.15,47,100,2.69,RU,1693101020
154,sinabang,2.4803,96.3801,27.53,78,63,2.45,ID,1693101020
155,ntoum,0.3833,9.7833,25.87,86,100,1.52,GA,1693101021
156,karukh,34.4811,62.5863,16.01,76,10,6.52,AF,1693101021
157,katsuura,35.1333,140.3,28.59,71,100,4.99,JP,1693101022
158,tazovsky,67.4667,78.7,9.06,82,97,5.32,RU,1693101022
159,mogadishu,2.0371,45.3438,24.83,85,38,6.61,SO,1693101023
160,nadi,-17.8,177.4167,26.0,65,40,3.09,FJ,1693101023
161,badger,64.8,-147.5333,20.93,65,20,4.12,US,1693101024
162,cockburn town,21.4612,-71.1419,28.49,75,5,3.98,TC,1693100906
163,arraial do cabo,-22.9661,-42.0278,19.0,79,100,5.59,BR,1693101025
164,digne-les-bains,44.0833,6.25,17.68,88,100,2.08,FR,1693101025
165,alofi,-19.0595,-169.9187,23.94,64,45,5.66,NU,1693101026
166,mount gambier,-37.8333,140.7667,13.41,65,100,3.07,AU,1693101026
167,champerico,14.3,-91.9167,28.39,74,48,1.8,GT,1693101027
168,nizhneudinsk,54.9076,99.0276,18.14,90,95,1.82,RU,1693101027
169,puerto baquerizo moreno,-0.9,-89.6,23.48,80,33,5.47,EC,1693101028
170,richards bay,-28.783,32.0377,15.6,55,0,4.86,ZA,1693101028
